thang,vung,tinh,quan,warehouse_id,warehouse_name,ten_kh,vol,kl,so_ngay,so_ngay_tren_1000,vol_tb_ngay,kl_tb_ngay,pct_duoi_5kg,pct_noi_vung,pct_lien_vung,pct_opr,pct_gio_0_9,pct_gio_9_19,pct_gio_19p,vol_delivered,pct_odr,pct_longtail,order_code_mau,pct_rot_lc
2026-03,HNO,Hà Nội,Quận Hà Đông,22421000,Bưu Cục Hàng Vừa 54 Ngõ 80 La Nội-Phường Dương Nội-HN,PDSTORE1998,84,27.324,6,0,14.0,4.554,1.0,0.333333333,0.666666667,0.488095238,0.369047619,0.630952381,0.0,83,0.855421687,0.156626506,VNGH80874834503,0.511904762
2026-03,HNO,Hà Nội,Quận Hà Đông,20620000,Bưu cục 36 TT9 KĐT Văn Phú-Q.Hà Đông-HN,Alons9oshop,1,2.32,1,0,1.0,2.32,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1,0.0,1.0,VNGH80302814503,0.0
2026-03,HCM,Hồ Chí Minh,Quận Tân Phú,22214000,Bưu Cục 197 Lê Cao Lãng-Phú Thạnh-Tân Phú-HCM,BAOBEI SHOP PHỤ KIỆN,4,1.132,2,0,2.0,0.566,1.0,0.0,1.0,0.75,0.25,0.75,0.0,4,1.0,0.0,VNGH80372144907,0.0
2026-03,HCM,Hồ Chí Minh,Thành Phố Thủ Đức,20519000,Bưu Cục 10 Đường số 8-Linh Xuân-Q.Thủ Đức-HCM,ECO HOME VIETNAM,1329,319.583,26,0,51.11538462,12.29165385,1.0,0.64785553,0.35214447,0.833709556,0.135440181,0.368698269,0.49586155,1326,0.878582202,0.19984917,VNGH80030754909,0.042328042
2026-04,HCM,Hồ Chí Minh,Quận Tân Phú,20972000,Bưu Cục 20/48A Bờ Bao Tân Thắng-Q.Tân Phú-HCM,Bách Hóa Hà San,5,13.2,3,0,1.666666667,4.4,1.0,0.4,0.6,1.0,0.0,1.0,0.0,5,1.0,0.0,VNGH80622105609,0.0
2026-04,HCM,Hồ Chí Minh,Quận Tân Phú,20972000,Bưu Cục 20/48A Bờ Bao Tân Thắng-Q.Tân Phú-HCM,Phân Phối Việt Nam,1,58.635,1,0,1.0,58.635,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,1.0,0.0,VNGH80457455002,0.0
2026-05,HNO,Hà Nội,Quận Hà Đông,22353000,Bưu Cục Số Nhà F8-Khu Đấu Giá Phú Lương 1-Phú Lương-HN,CONG TY TNHH XAY DUNG MTV AN THINH PHATPB,74,23.804,4,0,18.5,5.951,1.0,0.337837838,0.662162162,0.932432432,0.0,0.932432432,0.067567568,32,1.0,0.0,VNGH80942406208,0.0
2026-03,HCM,Hồ Chí Minh,Quận 6,1418,Bưu Cục 119 Nguyễn Văn Luông-Q.6-HCM,SPERO TOOLS,10,3.4,7,0,1.428571429,0.485714286,1.0,0.8,0.2,0.0,1.0,0.0,0.0,10,0.8,0.2,VNGH80752804901,0.1
2026-05,HCM,Hồ Chí Minh,Quận 12,22076000,Bưu Cục 92 Tân Chánh Hiệp 03-Tân Chánh Hiệp-Quận 12-HCM,Pets Choice HCM,79,140.792,14,0,5.642857143,10.05657143,0.962025316,0.582278481,0.417721519,0.898734177,0.493670886,0.253164557,0.253164557,76,0.894736842,0.105263158,VNGH80002696203,0.0
2026-05,HCM,Hồ Chí Minh,Thành Phố Thủ Đức,20519000,Bưu Cục 10 Đường số 8-Linh Xuân-Q.Thủ Đức-HCM,Girl's World No.1,407,151.684,18,0,22.61111111,8.426888889,1.0,0.535626536,0.464373464,0.864864865,0.297297297,0.702702703,0.0,403,0.972704715,0.034739454,VNGH80970456206,0.0
